url,genes,len
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=417132,"ycf2,trnD-GUC,trnY-GUA,trnE-UUC,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GCU,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rps11,rpl36,infA,rps8,rpl14,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16S,trnI-GAU,trnA-UGC,rrn23S,rrn4.5S,rrn5S,trnR-ACG,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,trnL-UAG,trnP-GGG,rpl32,rpl21,ndhF,trnN-GUU,trnR-ACG,rrn5S,rrn4.5S,rrn23S,trnA-UGC,trnI-GAU,rrn16S,trnV-GAC,rps7,ndhB,trnL-CAA,psbM,ycf66,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG",125
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1592803,"trnI-CAU,rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,petD,petB,psbH,psbN,psbT,psbB,clpP,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,psbE,psbF,psbL,psbJ,petA,cemA,ycf4,psaI,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,trnV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-GCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,ycf12,trnG-UCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,trnL-UAG,rpl32,rpl21,ndhF,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",125
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=67421,"rps11,petD",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=37425,"rps11,rpoA,petD",3
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=146548,"rps11,rpoA,petD",3
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=742424,"trnL,trnF",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1049808,"trnI-CAU,rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,petD,petB,psbH,psbN,psbT,psbB,clpP,rps12,rps12,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,psbE,psbF,psbL,psbJ,orf197,petA,cemA,ycf4,psal,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,truV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-UCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbl,trnS-GCU,psaM,ycf12,trnG-GCC,trnR-UCU,atpA,atpF,atpH,atpl,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,rrn16,trnl-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ndhD,psaC,ndhE,ndhG,ndhl,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",128
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=130434,"rpoB,rps11",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=38588,"rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,petD,petB,psbH,psbN,psbT,psbB,clpP,rps12,rps12,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,psbE,psbF,psbL,psbJ,petA,cemA,ycf4,psaI,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,trnV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-UCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,ycf12,trnG-GCC,trnR-UCU,atpA,atpF,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,trnI-GAU,trnA-UGC,trnR-ACG,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,trnL-UAG,trnP-GGG,rpl32,rpl21,ndhF,trnN-GUU,trnR-ACG,trnA-UGC,trnI-GAU,trnV-GAC",120
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=13805,"trnM-CAU,rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,rpoA,petD,petB,psbH,psbN,psbT,psbB,clpP,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,tufA,psbE,psbF,psbL,psbJ,petA,cemA,ycf4,psaI,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,trnV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-GCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,ycf12,trnG-UCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,ccsA,trnL-UAG,cysT,trnP-GGG,rpl32,rpl21,ndhF,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",130
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=67237,"trnL,trnF",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=80889,"trnM-CAU,rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,petD,petB,psbH,psbN,psbT,psbB,clpP,rps12,rps12,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,psbE,psbF,psbL,psbJ,petA,cemA,ycf4,psaI,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,trnV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-UCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,ycf12,trnG-UCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,trnI-GAU,trnA-UGC,trnR-ACG,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,trnL-UAG,trnP-GGG,rpl32,rpl21,ndhF,trnN-GUU,trnR-ACG,trnA-UGC,trnI-GAU,trnV-GAC",120
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=80886,"trnC,rpoB",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=700990,"trnI-CAU,rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,petD,petB,psbH,psbN,psbT,psbB,clpP,rps12,rps12,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,psbE,psbF,psbL,psbJ,petA,cemA,ycf4,psaI,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,trnV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-GCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,ycf12,trnG-UCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,trnL-UAG,trnP-GGG,rpl32,rpl21,ndhF,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",128
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=61563,"rps11,petD",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2497591,"trnL,trnF",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2497592,"trnL,trnF",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=455292,"ycf2,trnD-GUC,trnY-GUA,trnE-UUC,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16S,trnI-GAU,trnA-UGC,rrn23S,rrn4.5S,rrn5S,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnP-GGG,trnL-UAG,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,rrn5S,rrn4.5S,rrn23S,trnA-UGC,trnI-GAU,rrn16S,trnV-GAC,rps7,ndhB,trnL-CAA,psbM,ycf66,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG",126
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=67240,"rps7,ndhB,trnL-CAA,psbM,ycf66,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,PsbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,AccD,psaI,ycf4,CemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",127
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1903712,"trnI-CAU,rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,petD,petB,psbH,psbN,psbT,psbB,clpP,rps12,rps12,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,psbE,psbF,psbL,psbJ,petA,cemA,ycf4,psaI,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,trnV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-UCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,ycf12,trnG,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,trnL-UAG,trnP-GGG,rpl32,rpl21,ndhF,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",128
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=885028,"trnI-CAU,rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,petD,petB,psbH,psbN,psbT,psbB,clpP,rps12,rps12,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,psbE,psbF,psbL,psbJ,petA,cemA,ycf4,psaI,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,trnV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-UCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,ycf12,trnG-GCC,trnR-UCU,atpA,atpF,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",128
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=67441,"rps11,petD",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1678074,"trnI-CAU,rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,petD,petB,psbH,psbN,psbT,psbB,clpP,rps12,rps12,rpl20,rps18,rpl33,psaJ,trnP-UGG,trnW-CCA,petG,petL,psbE,psbF,psbL,psbJ,orf40,petA,cemA,ycf4,psaI,accD,trnR-CCG,rbcL,atpB,atpE,trnM-CAU,trnV-UAC,ndhC,ndhK,ndhJ,trnF-GAA,trnL-UAA,trnT-UGU,rps4,trnS-GGA,ycf3,psaA,psaB,rps14,trnfM-CAU,trnG-GCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnE-UUC,trnY-GUA,trnD-GUC,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,psb30,trnG-GCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,ycf66,psbM,trnL-CAA,ndhB,rps7,trnV-GAC,trnI-GAU,trnA-UGC,trnR-ACG,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,trnL-UAG,trnP-GGG,rpl32,rpl21,ndhF,chlN,chlL,trnN-GUU,trnR-ACG,trnA-UGC,trnI-GAU,trnV-GAC",123
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=590004,"rps7,ndhB,trnL-CAA,psbM,ycf66,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-GCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnP-GGG,trnL-UAG,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",127
